📺英国频道,#genre#
BBC One,http://89.187.179.148:826/anto.j/c9yJDcXyPe/120265
BBC Two,http://rocketfx.uk:8080/henry/henry/508265
BBC Three,http://89.187.179.148:826/anto.j/c9yJDcXyPe/110054
BBC Four,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98851
BBC Parliament,http://rocketfx.uk:8080/henry/henry/6036
ITV 1,http://89.187.179.148:826/anto.j/c9yJDcXyPe/120268
ITV 1,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98826
ITV 2,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98825
ITV 3,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98824
ITV 4,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98823
ITV Quiz,http://89.187.179.148:826/anto.j/c9yJDcXyPe/37151
Channel 4,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98848
Channel 5,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98847
E4,http://89.187.179.148:826/anto.j/c9yJDcXyPe/98833
E4 Extra,http://wx78.vpn-cloud.icu:8080/p3v23bcwj2/j9iyghyczo/1286332
4 seven,http://s.rocketdns.info:8080/monstercable/Dq6jjknxCr/89380
Film 4,http://wickediptv.xyz/Randall123/Randall321/53896

📺美国频道,#genre#
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
HBO,http://23.237.104.106:8080/USA_HBO/tracks-v1a1/mono.m3u8
HBO,http://23.237.104.106:8080/USA_HBO/index.m3u8
Fox News,http://138.121.15.230:9002/FOX-NEWS/index.m3u8
Fox Weather,https://foxweather-xumo.amagi.tv/playlist.m3u8
AMC,http://23.239.31.26:8989/amc/index.m3u8
CNBC,http://89.187.179.148:826/anto.j/c9yJDcXyPe/1346
TBS,https://turnerlive.warnermediacdn.com/hls/live/2023172/tbseast/slate/VIDEO_0_3564000.m3u8
CBS Sports Network,http://wickediptv.xyz/Randall123/Randall321/53420
ABC News Live,https://pb-0n3n2ej0w8pl9.akamaized.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-0n3n2ej0w8pl9/9d6fea29-b168-48b9-8d74-073a6bab5ce6/0.m3u8
ABC 2,https://linear-710.frequency.stream/dist/stirr/710/hls/master/playlist.m3u8
ABC 4,https://linear-709.frequency.stream/dist/stirr/709/hls/master/playlist.m3u8
ABC 4,https://linear-700.frequency.stream/dist/stirr/700/hls/master/playlist.m3u8
ABC 6,https://linear-689.frequency.stream/dist/stirr/689/hls/master/playlist.m3u8
ABC 7,https://linear-681.frequency.stream/dist/stirr/681/hls/master/playlist.m3u8
ABC 9,https://amg00327-coxmediagroup-wftvbreaking-ono-hec7b.amagi.tv/playlist/amg00327-coxmediagroup-wftvbreaking-ono/playlist.m3u8
ABC 13,https://linear-695.frequency.stream/dist/stirr/695/hls/master/playlist.m3u8
ABC 15,https://linear-696.frequency.stream/dist/stirr/696/hls/master/playlist.m3u8
ABC 22,https://linear-690.frequency.stream/dist/stirr/690/hls/master/playlist.m3u8
Newsmax,https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/3.m3u8
MTV,http://23.237.104.106:8080/USA_MTV/index.m3u8
MTV Live,http://23.237.104.106:8080/USA_MTV_LIVE/index.m3u8

📺香港,#genre#
TVB翡翠台,https://cdn6.163189.xyz/163189/fct
TVB翡翠台,https://cdn6.163189.xyz/163189/hlfct
TVB翡翠台,https://o11.163189.xyz/stream/live/hlt/
TVB翡翠台,https://o11.163189.xyz/stream/tvb/fct/
TVB明珠台,https://o11.163189.xyz/stream/tvb/mzt/
TVB无线新闻,https://cdn6.163189.xyz/163189/wxxw
TVB无线新闻,https://cdn6.163189.xyz/163189/wxxwt
TVB无线新闻,http://cdn6.163189.xyz/163189/wxxw
TVB无线星河,https://cdn6.163189.xyz/163189/tvbxh
TVB无线星河,https://cdn10.163189.xyz/163189/xinghe/
TVB无线星河,https://o11.163189.xyz/stream/live/tvbxh/
TVB娱乐新闻,https://cdn6.163189.xyz/163189/ylxw
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB Plus,https://cdn10.163189.xyz/163189/tvbp/
TVB Plus,https://smt.1678520.xyz/163189/tvbp
TVB1,https://cdn6.163189.xyz/163189/tvb1
翡翠剧集台(北美),https://cdn6.163189.xyz/163189/tvbd
凤凰卫视中文台,https://cdn6.163189.xyz/163189/fhzw
凤凰卫视中文台,http://cdn6.163189.xyz/163189/fhzw
凤凰卫视香港台,https://cdn6.163189.xyz/163189/fhhk
凤凰卫视香港台,http://cdn6.163189.xyz/163189/fhhk
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
RTHK32,http://cdn.163189.xyz/163189/rthk32
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
TVBJ1,https://cdn6.163189.xyz/163189/j1
Viutv,https://cdn10.163189.xyz/163189/viu/
Viutv,https://cdn.163189.xyz/163189/viu

📺台湾,#genre#
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
民视影剧台,https://cdn12.178.indevs.in/163189/msyj
Now新闻,https://cdn.163189.xyz/163189/now
Now新闻,http://cdn.163189.xyz/163189/now
台视新闻,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111

📺央视频道,#genre#
CCTV-1,https://cdn6.163189.xyz/163189/cctv1
CCTV-1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV-1,http://207.56.13.146:81/cdnlive/cctv1.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV-2,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV-3,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV-4,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-5,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5
CCTV-5,https://cdn16.163189.xyz/163189/cctv5-2
CCTV-5,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
CCTV-6,http://207.56.13.146:81/cdnlive/cctv6.m3u8
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7
CCTV-7,http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV-8,http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9
CCTV-9,http://207.56.13.146:81/cdnlive/cctv9.m3u8
CCTV-10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10
CCTV-10,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV-11,http://207.56.13.146:81/cdnlive/cctv11.m3u8
