📺英国频道,#genre#
BBC Two,https://t.freetv.fun/live/bbc-two-720p.m3u8
BBC Three,https://t.freetv.fun/live/bbc-three.m3u8
BBC Three,https://t.freetv.fun/live/bbc-three-720p.m3u8
Blaze,https://live-blaze-ssai.simplestreamcdn.com/v1/master/774d979dd66704abea7c5b62cb34c6815fda0d35/blaze-live-broadcast-scte/index.m3u8
DW德国之声,https://t.freetv.fun/live/dwde-guo-zhi-sheng-6.m3u8

📺美国频道,#genre#
Fox News,https://t.freetv.fun/live/fox-news.m3u8
Fox News,https://t.freetv.fun/live/fox-news-1.m3u8
Fox Sports 2,https://tvpass.org/live/FoxSports2/hd
Fox Sports 2,https://t.freetv.fun/live/fox-sports-2.m3u8
Fox Weather,https://foxweather-xumo.amagi.tv/playlist.m3u8
Fox Weather,https://t.freetv.fun/live/fox-weather.m3u8
Fox Weather,https://t.freetv.fun/live/fox-weather-1.m3u8
Fox Weather,https://t.freetv.fun/live/fox-weather-720p.m3u8
CNBC Asia 财经台,https://t.freetv.fun/live/cnbc-asiacai-jing.m3u8
CNBC Asia 财经台,https://t.freetv.fun/live/cnbc-asiacai-jing-5.m3u8
ABC 2,https://linear-710.frequency.stream/dist/stirr/710/hls/master/playlist.m3u8
ABC 2,https://aegis-cloudfront-1.tubi.video/c28d1ca8-9467-4798-81dc-09c1d6e90be1/playlist.m3u8
ABC 4,https://linear-700.frequency.stream/dist/stirr/700/hls/master/playlist.m3u8
ABC 4,https://linear-709.frequency.stream/dist/stirr/709/hls/master/playlist.m3u8
ABC 5,https://d3svnrf3rmq619.cloudfront.net/krgv-live/smil:krgv-live.smil/playlist.m3u8
ABC 5,https://aegis-cloudfront-1.tubi.video/c2e3094d-ad56-4c5f-9655-cd80df71fbab/playlist.m3u8
ABC 5,https://amg01942-amg01942c2-stirr-us-10173.playouts.now.amagi.tv/playlist.m3u8
ABC 6,https://linear-689.frequency.stream/dist/stirr/689/hls/master/playlist.m3u8
ABC 6,https://amg01942-amg01942c6-stirr-us-10178.playouts.now.amagi.tv/playlist.m3u8
ABC 6,https://aegis-cloudfront-1.tubi.video/bc9ff1c7-4dc1-4e36-9ef0-25b28c595ada/playlist.m3u8
ABC 7,https://linear-681.frequency.stream/dist/stirr/681/hls/master/playlist.m3u8
ABC 7,https://aegis-cloudfront-1.tubi.video/2dba5dd9-4097-45e3-b169-56735cc48476/playlist.m3u8
ABC 7,https://content.uplynk.com/channel/64ca339f04964a5e961c3207a7771bf1.m3u8
ABC 9,https://amg00327-coxmediagroup-wftvbreaking-ono-hec7b.amagi.tv/playlist/amg00327-coxmediagroup-wftvbreaking-ono/playlist.m3u8
ABC 9,https://aegis-cloudfront-1.tubi.video/b77ffe96-c5d1-43a7-8687-306ff244d725/playlist.m3u8
ABC 9,https://aegis-cloudfront-1.tubi.video/a53514a7-f2aa-4d34-802e-c2b5594fc0d7/playlist.m3u8
ABC 10,https://amg01942-amg01942c3-stirr-us-10196.playouts.now.amagi.tv/playlist.m3u8
ABC 10,https://aegis-cloudfront-1.tubi.video/1a352414-3a30-4f42-b14b-c091d02a5e45/playlist.m3u8
ABC 12,https://aegis-cloudfront-1.tubi.video/ec903a48-3638-4d0b-ac89-813e147bca58/playlist.m3u8
ABC 13,https://linear-695.frequency.stream/dist/stirr/695/hls/master/playlist.m3u8
ABC 13,https://content.uplynk.com/channel/39919d3f7a074eefa8bf579214e952f9.m3u8
ABC 15,https://linear-696.frequency.stream/dist/stirr/696/hls/master/playlist.m3u8
ABC 15,https://aegis-cloudfront-1.tubi.video/e923f4ce-7229-4e01-a25e-d453993dab82/playlist.m3u8
ABC 22,https://linear-690.frequency.stream/dist/stirr/690/hls/master/playlist.m3u8
ABC 23,https://aegis-cloudfront-1.tubi.video/69c4e4f9-84fa-43eb-b38e-6d1f9464ca73/playlist.m3u8
ABC 25,https://content.uplynk.com/channel/9d4e02c9c3544c269d32e6b316792c8f.m3u8
ABC 27,https://aegis-cloudfront-1.tubi.video/e739361e-fa12-4cac-92f3-e0dbf332cd88/playlist.m3u8

📺香港,#genre#
TVB翡翠台,https://t.freetv.fun/live/tvbfei-cui-2.php
TVB翡翠台,https://t.freetv.fun/live/tvbfei-cui-tai.m3u8
TVB无线新闻,https://t.freetv.fun/live/wu-xian-xin-wen.m3u8
TVB无线新闻,https://t.freetv.fun/live/wu-xian-xin-wen-1.m3u8
TVB无线新闻,https://t.freetv.fun/live/wu-xian-xin-wen-1-1.m3u8
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-wei-shi-gao-qing.php
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-zhong-wen.php
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-wei-shi-zhong-wen.m3u8
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-wei-shi-zhong-wen-1.m3u8
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-wei-shi-zhong-wen-1-1.m3u8
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-wei-shi-zhong-wen-2.m3u8
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-zhong-wen-1.php
凤凰卫视中文台,https://t.freetv.fun/live/feng-huang-zhong-wen-1-1.php
凤凰卫视香港台,https://t.freetv.fun/live/feng-huang-wei-shi-xiang-gang-1.m3u8
